imdb_title_id	weighted_average_vote	total_votes
tt0021764	5.8	174
tt0021768	6.4	225
tt0021770	7	895
tt0021772	5.6	149
tt0021775	5.9	100
tt0021778	6.2	805
tt0021780	6.2	843
tt0021785	6.1	366
tt0021786	6.2	119
tt0021793	5.9	188
tt0021798	6.2	174
tt0021799	6.3	542
tt0021807	6.2	126
tt0021814	7.5	45054
tt0021815	7.2	3901
tt0021818	7.3	1939
tt0021820	5.7	216
tt0021825	6.1	444
tt0021826	6	136
tt0021828	5.7	169
tt0021829	6	149
tt0021836	7.2	548
tt0021840	6	131
tt0021845	5.6	188
tt0021847	6.4	111
tt0021859	5.2	112
tt0021861	5.7	520
tt0021864	6.1	221
tt0021865	5.9	396
tt0021873	7.3	1758
tt0021874	6.3	1263
tt0021879	5.8	206
tt0021884	7.8	63315
tt0021885	6.7	2225
tt0021889	5.4	298
tt0021890	6.7	2348
tt0021895	5.5	128
tt0021900	5.1	129
tt0021906	6.4	731
tt0021910	7	545
tt0021917	5.3	316
tt0021919	5.9	162
tt0021927	5.7	154
tt0021928	6.2	118
tt0021931	6.5	456
tt0021932	6.7	237
tt0021933	6.9	648
tt0021952	5.9	168
tt0021963	5.9	129
tt0021966	5.5	195
tt0021969	6.7	171
tt0021973	5.8	143
tt0021978	6.9	159
tt0021985	7.8	1404
tt0021986	5.4	212
tt0021988	6.1	148
tt0021992	6.1	832
tt0022000	6.2	1336
tt0022001	6.3	464
tt0022002	6.1	213
tt0022017	7.5	1213
tt0022021	5.9	425
tt0022026	5	296
tt0022029	5.5	134
tt0022034	7	461
tt0022042	6	107
tt0022043	6	130
tt0022046	6	258
tt0022048	6.4	348
tt0022054	6.8	1212
tt0022056	5.6	202
tt0022059	5.4	576
tt0022074	7.2	3148
tt0022080	7.3	1804
tt0022085	6.2	183
tt0022086	6.3	343
tt0022100	8.3	139271
tt0022103	6.4	554
tt0022105	6.5	163
tt0022111	6.9	2692
tt0022117	6.9	271
tt0022119	6.1	682
tt0022120	5	134
tt0022121	6.5	163
tt0022125	7.9	1938
tt0022134	5.7	234
tt0022135	5.7	144
tt0022139	6.3	119
tt0022149	6.3	554
tt0022150	7.4	3140
tt0022151	7	430
tt0022153	7.2	1808
tt0022158	7.5	11207
tt0022172	5.4	322
tt0022173	6.2	251
tt0022177	5.6	159
tt0022178	6.5	139
tt0022180	5.6	206
tt0022183	7.6	2432
tt0022185	7.3	162
